Treatment,Replica,FOV,Time,CellCount,CellArea,NucleusArea,mRNA_nucleus,mRNA_cytosol
Drug8_1000nM,rep2,FOV2,0,11,7594,2684,2.0,0.0
Drug8_1000nM,rep2,FOV2,1,1,8546,3087,2.0,0.0
Drug8_1000nM,rep2,FOV2,1,2,7474,3092,0.0,2.0
Drug8_1000nM,rep2,FOV2,1,3,7539,2729,0.0,0.0
Drug8_1000nM,rep2,FOV2,1,4,3163,2668,0.0,0.0
Drug8_1000nM,rep2,FOV2,1,5,7598,2887,1.0,2.0
Drug8_1000nM,rep2,FOV2,1,6,7665,2815,0.0,0.0
Drug8_1000nM,rep2,FOV2,1,7,7567,3029,0.0,18.0
Drug8_1000nM,rep2,FOV2,1,8,7836,2937,0.0,0.0
Drug8_1000nM,rep2,FOV2,1,9,7191,2895,0.0,3.0
Drug8_1000nM,rep2,FOV2,1,10,7642,6552,0.0,16.0
Drug8_1000nM,rep2,FOV2,1,11,7605,2736,2.0,0.0
Drug8_1000nM,rep2,FOV2,2,1,8583,3246,2.0,0.0
Drug8_1000nM,rep2,FOV2,2,2,7452,3083,0.0,0.0
Drug8_1000nM,rep2,FOV2,2,3,7725,2760,0.0,8.0
Drug8_1000nM,rep2,FOV2,2,4,3547,2666,0.0,0.0
Drug8_1000nM,rep2,FOV2,2,5,7571,3149,2.0,0.0
Drug8_1000nM,rep2,FOV2,2,6,7547,2890,0.0,0.0
Drug8_1000nM,rep2,FOV2,2,7,7531,2847,0.0,16.0
Drug8_1000nM,rep2,FOV2,2,8,7798,2924,0.0,0.0
Drug8_1000nM,rep2,FOV2,2,9,7251,2940,0.0,10.0
Drug8_1000nM,rep2,FOV2,2,10,7658,6260,1.0,3.0
Drug8_1000nM,rep2,FOV2,2,11,7602,3662,2.0,0.0
Drug8_1000nM,rep2,FOV2,3,1,8612,6382,2.0,0.0
Drug8_1000nM,rep2,FOV2,3,2,7362,3078,0.0,1.0
Drug8_1000nM,rep2,FOV2,3,3,7735,2724,0.0,23.0
Drug8_1000nM,rep2,FOV2,3,4,3553,2573,0.0,0.0
Drug8_1000nM,rep2,FOV2,3,5,7583,3219,2.0,0.0
Drug8_1000nM,rep2,FOV2,3,6,7577,2873,0.0,0.0
Drug8_1000nM,rep2,FOV2,3,7,7492,2797,0.0,9.0
Drug8_1000nM,rep2,FOV2,3,8,7778,2935,0.0,0.0
Drug8_1000nM,rep2,FOV2,3,9,7287,2902,0.0,8.0
Drug8_1000nM,rep2,FOV2,3,10,7713,3683,1.0,0.0
Drug8_1000nM,rep2,FOV2,3,11,7620,4908,2.0,0.0
Drug8_1000nM,rep2,FOV2,4,1,8676,7284,2.0,0.0
Drug8_1000nM,rep2,FOV2,4,2,7381,3043,0.0,1.0
Drug8_1000nM,rep2,FOV2,4,3,7810,2759,0.0,11.0
Drug8_1000nM,rep2,FOV2,4,4,4157,2458,0.0,0.0
Drug8_1000nM,rep2,FOV2,4,5,7528,3101,2.0,2.0
Drug8_1000nM,rep2,FOV2,4,6,7769,2845,0.0,0.0
Drug8_1000nM,rep2,FOV2,4,7,7501,2824,0.0,2.0
Drug8_1000nM,rep2,FOV2,4,8,7823,2906,0.0,0.0
Drug8_1000nM,rep2,FOV2,4,9,7320,3064,0.0,6.0
Drug8_1000nM,rep2,FOV2,4,10,7719,3590,1.0,2.0
Drug8_1000nM,rep2,FOV2,4,11,7512,2682,0.0,1.0
Drug8_1000nM,rep2,FOV2,5,1,8640,7384,2.0,0.0
Drug8_1000nM,rep2,FOV2,5,2,7496,3110,0.0,4.0
Drug8_1000nM,rep2,FOV2,5,3,7791,2823,2.0,0.0
Drug8_1000nM,rep2,FOV2,5,4,7526,2713,0.0,14.0
Drug8_1000nM,rep2,FOV2,5,5,7851,2872,0.0,0.0
Drug8_1000nM,rep2,FOV2,5,6,7450,2799,0.0,2.0
Drug8_1000nM,rep2,FOV2,5,7,7876,2860,0.0,0.0
Drug8_1000nM,rep2,FOV2,5,8,7306,3185,1.0,0.0
Drug8_1000nM,rep2,FOV2,5,9,7630,3110,1.0,2.0
Drug8_1000nM,rep2,FOV2,6,1,8674,7472,2.0,0.0
Drug8_1000nM,rep2,FOV2,6,2,7497,3133,0.0,13.0
Drug8_1000nM,rep2,FOV2,6,3,7791,3196,2.0,0.0
Drug8_1000nM,rep2,FOV2,6,4,7525,2721,0.0,9.0
Drug8_1000nM,rep2,FOV2,6,5,7973,2858,0.0,3.0
Drug8_1000nM,rep2,FOV2,6,6,7460,2842,0.0,3.0
Drug8_1000nM,rep2,FOV2,6,7,7862,2920,0.0,0.0
Drug8_1000nM,rep2,FOV2,6,8,7341,3150,1.0,0.0
Drug8_1000nM,rep2,FOV2,7,1,8582,6685,2.0,0.0
Drug8_1000nM,rep2,FOV2,7,2,7543,3186,0.0,15.0
Drug8_1000nM,rep2,FOV2,7,3,7865,3205,2.0,0.0
Drug8_1000nM,rep2,FOV2,7,4,7383,2676,0.0,0.0
Drug8_1000nM,rep2,FOV2,7,5,8025,2913,0.0,9.0
Drug8_1000nM,rep2,FOV2,7,6,7402,2820,0.0,2.0
Drug8_1000nM,rep2,FOV2,7,7,7852,2977,0.0,0.0
Drug8_1000nM,rep2,FOV2,7,8,7327,3166,1.0,4.0
Drug8_1000nM,rep2,FOV2,8,1,8564,5562,2.0,0.0
Drug8_1000nM,rep2,FOV2,8,2,7532,3126,0.0,9.0
Drug8_1000nM,rep2,FOV2,8,3,7829,3102,2.0,0.0
Drug8_1000nM,rep2,FOV2,8,4,7208,2673,0.0,0.0
Drug8_1000nM,rep2,FOV2,8,5,8017,2986,0.0,13.0
Drug8_1000nM,rep2,FOV2,8,6,7436,2886,0.0,1.0
